value,score,parameter
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.1545754209816927,-3757.358685066449,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.0136562001969742,-3757.4521253027438,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
1.167387107576122,-3757.424591816882,size
